NODES,4
INDEX,Name,X-coordinate,Y-coordinate
0,0,-,-
1,1,-,-
2,2,-,-
3,3,-,-
ARCS,10
Index,Origin,Destination,Variable Cost,Fixed Cost,Capacity,Travel time,Travel time max deviation
0,0,1,0,60,1,60,10
1,0,2,0,40,1,40,10
2,1,0,0,60,1,60,10
3,1,2,0,70,1,70,10
4,1,3,0,50,1,50,10
5,2,0,0,40,1,40,10
6,2,1,0,70,1,70,10
7,2,3,0,30,1,30,10
8,3,1,0,50,1,50,10
9,3,2,0,30,1,30,10
COMMODITIES,3
Index,Origin,Destination,Demand/Size,Earliest available time,Latest delivery time, Unit holding cost(per time for whole demand), Delay penalty
0,2,1,2,30,160,0.05,2
1,3,0,1,20,150,0.05,2
2,1,2,3,0,180,0.05,2

